Id,label
0,8
1,8
2,7
3,4
4,8
5,4
6,1
7,0
8,4
9,5
10,3
11,7
12,4
13,9
14,4
15,1
16,1
17,3
18,3
19,9
20,9
21,0
22,2
23,6
24,9
25,7
26,4
27,7
28,9
29,4
30,3
31,4
32,4
33,5
34,0
35,2
36,9
37,8
38,1
39,8
40,1
41,8
42,8
43,8
44,5
45,4
46,6
47,1
48,7
49,1
50,2
51,2
52,9
53,5
54,9
55,7
56,4
57,5
58,3
59,5
60,2
61,7
62,0
63,2
64,0
65,9
66,6
67,4
68,5
69,0
70,8
71,1
72,4
73,4
74,2
75,8
76,9
77,3
78,9
79,7
80,1
81,0
82,1
83,5
84,7
85,3
86,1
87,2
88,5
89,4
90,4
91,3
92,8
93,3
94,1
95,1
96,5
97,5
98,5
99,7
100,2
101,3
102,7
103,9
104,5
105,0
106,8
107,9
108,6
109,3
110,3
111,5
112,5
113,2
114,3
115,2
116,5
117,2
118,0
119,5
120,3
121,7
122,5
123,0
124,7
125,7
126,2
127,6
128,4
129,9
130,2
131,2
132,8
133,2
134,7
135,0
136,6
137,0
138,6
139,6
140,4
141,5
142,4
143,3
144,7
145,4
146,7
147,4
148,6
149,0
150,3
151,0
152,3
153,1
154,5
155,3
156,2
157,8
158,4
159,7
160,4
161,0
162,6
163,9
164,5
165,6
166,4
167,8
168,5
169,9
170,0
171,0
172,5
173,7
174,7
175,3
176,8
177,0
178,9
179,0
180,6
181,5
182,8
183,5
184,9
185,2
186,0
187,9
188,4
189,6
190,3
191,2
192,3
193,0
194,1
195,7
196,1
197,5
198,6
199,7
200,9
201,0
202,1
203,2
204,3
205,6
206,5
207,8
208,8
209,9
210,5
211,6
212,8
213,3
214,7
215,2
216,9
217,1
218,4
219,1
220,2
221,8
222,7
223,0
224,4
225,7
226,2
227,4
228,4
229,1
230,6
231,5
232,2
233,3
234,1
235,4
236,8
237,4
238,6
239,2
240,0
241,5
242,7
243,2
244,5
245,0
246,5
247,1
248,7
249,8
250,0
251,2
252,8
253,3
254,1
255,6
256,6
257,7
258,3
259,4
260,8
261,9
262,1
263,8
264,9
265,4
266,1
267,5
268,7
269,1
270,9
271,5
272,0
273,0
274,0
275,7
276,8
277,8
278,6
279,7
280,6
281,9
282,0
283,2
284,0
285,4
286,4
287,5
288,3
289,7
290,6
291,3
292,3
293,1
294,3
295,6
296,1
297,8
298,7
299,3
300,6
301,7
302,3
303,1
304,6
305,5
306,1
307,9
308,6
309,8
310,5
311,7
312,8
313,6
314,9
315,9
316,0
317,2
318,5
319,3
320,3
321,2
322,5
323,3
324,2
325,4
326,3
327,4
328,6
329,2
330,3
331,9
332,7
333,4
334,7
335,3
336,1
337,4
338,1
339,5
340,2
341,9
